id,appeal_id,text,modified_text,content_type,true_toxicity,correct_action,noisy_toxicity_score,confidence_level,follower_bucket,group,is_adversarial,user_id,day,violation_history,last_action,escalation_level,original_action_taken,should_reverse,label
28,28,"I'll try my best to drop down to your level.  Hopefully you can comprehend that the movie is the source for many of these.  You don't need a weblink for everything on Wikipedia.  Good example is the lawsuit.  The lawsuit itself is the source.  Things like the budget and the Cinemassacre thing would need direct citations, but by all means, keep doing a broad deletion.  That's what Wikipedia needs.","I'll try my best to drop down to your level.  Hopefully you can comprehend that the movie is the source for many of these.  You don't need a weblink for everything on Wikipedia.  Good example is the lawsuit.  The lawsuit itself is the source.  Things like the budget and the Cinemassacre thing would need direct citations, but by all means, keep doing a broad deletion.  That's what Wikipedia needs.",general,0,0,0.0548,0.9452,0,B,0,0,0,0,0,0,0,0,0
29,29,"Sorry, I'm colour-blind. I see nothing. Currently I am eating warthog steak. Would you like to join me?","Sorry, I'm colour-blind. I see nothing. Currently I am eating warthog steak. Would you like to join me?",personal,0,0,0.0619,0.9381,0,A,0,19,2,1,0,1,0,0,0
30,30,"In addition, tags have been placed throughout tis section, indicating places where there might be a need for either improved or first sources.

Note, finally, as I said at the Liddell article, in the LC section, these are important matters, controversial matters, about which I have no firm opinion; it is simply crucial that they be properly verifiable, and clearly stated. Best of fortune getting this in order. It has all the makings of a first-class article, if the matter of this controversy can be carefully, thoughtfully, and verifiably resolved.  Cheers,","In addition, tags have been placed throughout tis section, indicating places where there might be a need for either improved or first sources.

Note, finally, as I said at the Liddell article, in the LC section, these are important matters, controversial matters, about which I have no firm opinion; it is simply crucial that they be properly verifiable, and clearly stated. Best of fortune getting this in order. It has all the makings of a first-class article, if the matter of this controversy can be carefully, thoughtfully, and verifiably resolved.  Cheers,",general,0,0,0.0646,0.9354,0,A,0,0,0,0,0,0,0,0,0
31,31,Mmmm... yes... a pint of palestinian blood would be a fine dessert right now. -  talk/email,Mmmm... yes... a pint of palestinian blood would be a fine dessert right now. -  talk/email,threat,1,1,0.8712,0.6788,2,B,0,0,0,0,0,0,1,0,1
32,32,"Firebombing==

I'll see you tonight fellow brother. WHITE POWER! It's going to be sweet, we're going to linch some jews, burn some crosses, and take turns fucking Billy Bob's sister. It's on for tonight, bring the beer, the gasoline, and of course the rope. By the way, you better not talk to that chink on 5th street. He and his people are taking AR JOOOOBS! May the lord protect you until 12 tonight and then we're going to have some fun. WHITE POWER BROTHER!!!!!

==","Firebombing==

I'll see you tonight fellow brother. WHITE POWER! It's going to be sweet, we're going to linch some jews, burn some crosses, and take turns fucking Billy Bob's sister. It's on for tonight, bring the beer, the gasoline, and of course the rope. By the way, you better not talk to that chink on 5th street. He and his people are taking AR JOOOOBS! May the lord protect you until 12 tonight and then we're going to have some fun. WHITE POWER BROTHER!!!!!

==",hate_speech,1,0,0.139,0.939,0,B,0,0,0,0,0,0,0,1,1
33,33,"""You wrote """":Elockid has clarified that the block on the IP was not targeted at him, but, rather, at another user who apparently was spoofing Ldm's IP. Since he's convinced I have a """"conflict of interest"""" regarding his block (from what I don't know), I'm not going to take any action. And honestly, now that the issue of block evasion has been cleared up, I'm not going to complain if he creates another account with an acceptable username and userpage. Thanks.   """"   ""","""You wrote """":Elockid has clarified that the block on the IP was not targeted at him, but, rather, at another user who apparently was spoofing Ldm's IP. Since he's convinced I have a """"conflict of interest"""" regarding his block (from what I don't know), I'm not going to take any action. And honestly, now that the issue of block evasion has been cleared up, I'm not going to complain if he creates another account with an acceptable username and userpage. Thanks.   """"   """,personal,0,0,0.0,1.0,1,B,0,2,5,2,0,0,0,0,0
34,34,"P.S 

who gives you the Authority to delete my PERSONAL stuff that my teacher told ME to do, NOT OTHER USER CREEPS to mess with.","P.S 

who gives you the Authority to delete my PERSONAL stuff that my teacher told ME to do, NOT OTHER USER CREEPS to mess with.",personal,1,0,0.0779,0.8779,0,A,0,0,0,0,0,0,0,1,1
35,35,"supper, you hungry bitch","supper, you hungry bitch",general,1,0,0.3924,0.9076,0,B,0,0,0,0,0,0,0,1,1
36,36,"""::Thanks, Hnsampat.  Drmargi can lick it.  Times of London not a reliable source?  Lick it.  Stuff it and lick it.

By the way, it was stolen from the Jungle Brothers: """"Africa 'cause AfriCAN!!!""""

""","""::Thanks, Hnsampat.  Drmargi can lick it.  Times of London not a reliable source?  Lick it.  Stuff it and lick it.

By the way, it was stolen from the Jungle Brothers: """"Africa 'cause AfriCAN!!!""""

""",general,1,0,0.3693,0.8307,1,B,0,0,0,0,0,0,0,1,1
37,37,"Well, in my opinion high schools are of borderline notability.  Usually high schools have tens of thousands of graduates, each one spending hours and hours there for a four year period with countless memories during a time of transition in their lives.  Some have more students than say Bryn Mawr College.  Also, to try to delete every article on a high school is an unspeakably futile act.  It just can't happen, and even if they were deleted they'd just pop right back up like weeds.","Well, in my opinion high schools are of borderline notability.  Usually high schools have tens of thousands of graduates, each one spending hours and hours there for a four year period with countless memories during a time of transition in their lives.  Some have more students than say Bryn Mawr College.  Also, to try to delete every article on a high school is an unspeakably futile act.  It just can't happen, and even if they were deleted they'd just pop right back up like weeds.",general,0,0,0.0,1.0,0,A,0,0,0,0,0,0,0,0,0
38,38,"""Please be careful when you add comments to a discussion not to delete content or templates from the page, as you did at Wikipedia:Articles for deletion/Donier Tyler. Thank you! ~81(C) ""","""Please be careful when you add comments to a discussion not to delete content or templates from the page, as you did at Wikipedia:Articles for deletion/Donier Tyler. Thank you! ~81(C) """,humor,0,0,0.0,1.0,0,A,0,8,2,1,0,1,0,0,0
39,39,"Hello Young Lady
The articles were amended, please read them before reverting them again.","Hello Young Lady
The articles were amended, please read them before reverting them again.",general,0,0,0.0,1.0,2,B,0,0,0,0,0,0,0,0,0
40,40,"OK, you are a faggot. Keep being an ass. And don't forget to edit it.wikipedia.org/wiki/Marie_Luv fr.wikipedia.org/wiki/Marie_Luv es.wikipedia.org/wiki/Marie_Luv pt.wikipedia.org/wiki/Marie_Luv. And write to Jimbo to complain that Marie Luv entry was nominated as a Pornography Featured article. With her real name!!! WTF??? Such a shame!!! http://en.wikipedia.org/wiki/Portal:Pornography/Featured_article/38

Add by the way, rewrite the part of the article that is a copy/paste from IMDb. Not a serious reliable source.

Oh! And write to Google to state that they don't respect her privacy: Quiana Marie Bryant.

BTW you won. I'll stop editing wikipedia. Since adding informations is useless with poor guys like you. Cheers.

85.201.107.27","OK, you are a faggot. Keep being an ass. And don't forget to edit it.wikipedia.org/wiki/Marie_Luv fr.wikipedia.org/wiki/Marie_Luv es.wikipedia.org/wiki/Marie_Luv pt.wikipedia.org/wiki/Marie_Luv. And write to Jimbo to complain that Marie Luv entry was nominated as a Pornography Featured article. With her real name!!! WTF??? Such a shame!!! http://en.wikipedia.org/wiki/Portal:Pornography/Featured_article/38

Add by the way, rewrite the part of the article that is a copy/paste from IMDb. Not a serious reliable source.

Oh! And write to Google to state that they don't respect her privacy: Quiana Marie Bryant.

BTW you won. I'll stop editing wikipedia. Since adding informations is useless with poor guys like you. Cheers.

85.201.107.27",hate_speech,1,0,0.2976,0.9024,1,A,0,0,0,0,0,0,0,1,1
41,41,"""

 Ice 

Stay cool my balls. I say """"diu lei lo mo""""""","""

 Ice 

Stay cool my balls. I say """"diu lei lo mo""""""",general,1,0,0.3115,0.8885,0,B,0,14,1,0,0,0,0,1,1
42,42,I should be unblocked cos Alex aka skater is actually gay as my mate olly bummed him last night!!!,I should be unblocked cos Alex aka skater is actually gay as my mate olly bummed him last night!!!,general,1,0,0.2815,0.9185,0,B,0,0,0,0,0,0,0,1,1
43,43,"banning me dodo bit bird die,","banning me dodo bit bird die,",threat,1,0,0.1002,0.9002,0,A,0,0,0,0,0,0,0,1,1
44,44,"Tupac
The reason I removed it The Lost Tapes is because its a compliation, not a studio album, and does not fit in the posthumous studio albums section.","Tupac
The reason I removed it The Lost Tapes is because its a compliation, not a studio album, and does not fit in the posthumous studio albums section.",general,0,0,0.0348,0.9652,0,A,0,0,0,0,0,0,0,0,0
45,45,"Bye! do what you do....! 

Hello
My exams are coming and I don't want to waste my time arguing with a mental Named IndianBio.As I have many work to do which include study,study and study and I don't want to failed in my semester exams.I have many work to do in regular life unlike that idiot who wants that to made his presence felt on Wikipedia.I will advice Administrators to check out IndianBio and Gleekvampire accounts.its the case of Sock Puppet on Wikipedia.Indian gave him A batnstar and again vampire hive same barnstat to him.doesn't. Make sense.well he created account gleekvampire to present himself barnstars and support.pls checkout.(  )","Bye! do what you do....! 

Hello
My exams are coming and I don't want to waste my time arguing with a mental Named IndianBio.As I have many work to do which include study,study and study and I don't want to failed in my semester exams.I have many work to do in regular life unlike that idiot who wants that to made his presence felt on Wikipedia.I will advice Administrators to check out IndianBio and Gleekvampire accounts.its the case of Sock Puppet on Wikipedia.Indian gave him A batnstar and again vampire hive same barnstat to him.doesn't. Make sense.well he created account gleekvampire to present himself barnstars and support.pls checkout.(  )",news_info,1,0,0.2175,0.9825,0,A,0,0,0,0,0,0,0,1,1
46,46,"""

don't be a dumbfuck
The """"Pedigree"""" or Double Underhook Facebuster is not an actual facebuster; it is a DDT because it incorporates a headlock. Stop being a dumbfuck fanboi and stop reverting.""","""

don't be a dumbfuck
The """"Pedigree"""" or Double Underhook Facebuster is not an actual facebuster; it is a DDT because it incorporates a headlock. Stop being a dumbfuck fanboi and stop reverting.""",general,1,0,0.3328,0.9672,0,A,0,0,0,0,0,0,0,1,1
47,47,"December 2009 
 Please stop. If you continue to blank out or delete portions of page content, templates or other materials from Wikipedia, as you did to Avatar, you will be blocked from editing.  I assume that you are the editor previously using IP , and have been warned for the vandalism before","December 2009 
 Please stop. If you continue to blank out or delete portions of page content, templates or other materials from Wikipedia, as you did to Avatar, you will be blocked from editing.  I assume that you are the editor previously using IP , and have been warned for the vandalism before",general,0,0,0.1307,0.8693,2,A,0,29,3,0,0,0,0,0,0
48,48,"A better way of viewing it  perhaps would be  along the lines that there is no such thing  as  rubbish (waste); as  rubbish (waste)  is  just something in the wrong place at the wrong time.  Example: Small amounts of the nuclear industries radioactive 'waste' such as Strontium-90 has found useful applications. Yet it is obtained from the nuclear industries waste, which un-contained  would pollute the environment.","A better way of viewing it  perhaps would be  along the lines that there is no such thing  as  rubbish (waste); as  rubbish (waste)  is  just something in the wrong place at the wrong time.  Example: Small amounts of the nuclear industries radioactive 'waste' such as Strontium-90 has found useful applications. Yet it is obtained from the nuclear industries waste, which un-contained  would pollute the environment.",general,0,0,0.0335,0.9665,2,B,0,0,0,0,0,0,0,0,0
49,49,"SAME HERE!!! I fixed a spelling error in 'Homosexuality' and I get a 'Last Warning for Vandalisim' Whatsa the go? What, you hate Umpires or something you racist","SAME HERE!!! I fixed a spelling error in 'Homosexuality' and I get a 'Last Warning for Vandalisim' Whatsa the go? What, you hate Umpires or something you racist",hate_speech,1,0,0.3018,0.8982,1,A,0,0,0,0,0,0,0,1,1
50,50,"No Picture? 

With such a heinous murder and rape spree, why isn't there a picture of the thug? His spiteful, bastard face must be seen to have the full effect: Mugshot

Also, it should be mentioned somewhere, maybe in a Controversies section, that the Oakland black community and black activist groups actually came to Mixon's defense- calling him a soldier, a hero, and a victim: Source 1 , Source 2 50.29.10.210","No Picture? 

With such a heinous murder and rape spree, why isn't there a picture of the thug? His spiteful, bastard face must be seen to have the full effect: Mugshot

Also, it should be mentioned somewhere, maybe in a Controversies section, that the Oakland black community and black activist groups actually came to Mixon's defense- calling him a soldier, a hero, and a victim: Source 1 , Source 2 50.29.10.210",threat,0,0,0.0601,0.9899,2,B,0,0,0,0,0,0,0,0,0
51,51,"""

 Reply 

My comment was intended to stop the argument before it got even more out of hand - and also hopefully edit conflict any escalation-in-progress. Administrators will be reviewing both your actions now that this has been brought up, and will determine if any action is necessary.  (//c) ""","""

 Reply 

My comment was intended to stop the argument before it got even more out of hand - and also hopefully edit conflict any escalation-in-progress. Administrators will be reviewing both your actions now that this has been brought up, and will determine if any action is necessary.  (//c) """,general,0,0,0.0434,0.9566,1,A,0,0,0,0,0,0,0,0,0
52,52,"|autho6=Lauren C. Williams
|title6=The ‘Five Horsemen’ Of Wikipedia Paid The Price For Getting Between Trolls And Their Victims
|date6=2015-03-06
|org6=Think Progress
|url6=http://thinkprogress.org/culture/2015/03/06/3629086/wikipedia-gamergate-war/
|quote6= It’s interesting how a male feminist had to write a blog about it before anybody realized that there are these problems on Wikipedia.","|autho6=Lauren C. Williams
|title6=The ‘Five Horsemen’ Of Wikipedia Paid The Price For Getting Between Trolls And Their Victims
|date6=2015-03-06
|org6=Think Progress
|url6=http://thinkprogress.org/culture/2015/03/06/3629086/wikipedia-gamergate-war/
|quote6= It’s interesting how a male feminist had to write a blog about it before anybody realized that there are these problems on Wikipedia.",general,0,0,0.0947,0.9053,1,A,0,22,5,4,0,3,0,0,0
53,53,"Go Fuck Yourself 

Get a job, you hippie shitbag.","Go Fuck Yourself 

Get a job, you hippie shitbag.",sexual,1,0,0.0814,0.7814,1,A,0,15,3,1,0,0,0,1,1
54,54,"Daniel Clark 
My recent edit of this article is not at all a disruptive edit, I was just adding something that I read in a magazine, and I couldnt find the source. So dont be threatening to block me or anything.","Daniel Clark 
My recent edit of this article is not at all a disruptive edit, I was just adding something that I read in a magazine, and I couldnt find the source. So dont be threatening to block me or anything.",personal,0,0,0.0,1.0,0,B,0,6,3,2,0,2,0,0,0
55,55,Suck it dick face from IP Address: 71.195.241.34 Name: Tyler Age: Go fuck yourself nutsack,Suck it dick face from IP Address: 71.195.241.34 Name: Tyler Age: Go fuck yourself nutsack,sexual,1,2,0.5794,0.9294,0,A,0,0,0,0,0,0,2,0,1
